time,closing,moving average,signal
5/13/16 0:00,3074.94,3138.819167,
5/16/16 0:00,3095.31,3139.512667,
5/17/16 0:00,3086.02,3140.086667,
5/18/16 0:00,3068.04,3139.2395,
5/19/16 0:00,3062.5,3138.791833,
5/20/16 0:00,3078.22,3138.269833,
5/23/16 0:00,3087.22,3141.077667,
5/24/16 0:00,3063.56,3143.003167,
5/25/16 0:00,3059.23,3146.0325,
5/26/16 0:00,3064.21,3148.257833,
5/27/16 0:00,3062.5,3148.444,
5/30/16 0:00,3066.71,3148.582167,
5/31/16 0:00,3169.56,3149.843333,Buy in the next trading day
6/1/16 0:00,3160.55,3150.771833,
6/2/16 0:00,3167.1,3151.762333,
6/3/16 0:00,3189.33,3153.719333,
6/6/16 0:00,3178.79,3156.48,
6/7/16 0:00,3177.05,3159.126167,
6/8/16 0:00,3163.99,3160.7645,
6/13/16 0:00,3066.34,3160.623833,Sell in the next trading day
6/14/16 0:00,3075.98,3160.389667,
6/15/16 0:00,3116.37,3160.259167,
6/16/16 0:00,3094.67,3158.971,
6/17/16 0:00,3110.36,3156.653,
6/20/16 0:00,3112.67,3154.767667,
6/21/16 0:00,3106.32,3152.604833,
6/22/16 0:00,3133.96,3151.806667,
6/23/16 0:00,3117.32,3150.465,
6/24/16 0:00,3077.16,3148.922167,
6/27/16 0:00,3120.54,3148.674333,
6/28/16 0:00,3136.4,3147.343167,
6/29/16 0:00,3151.39,3146.2315,Buy in the next trading day
6/30/16 0:00,3153.92,3145.0985,
7/1/16 0:00,3154.2,3143.260333,
7/4/16 0:00,3204.7,3142.379833,
7/5/16 0:00,3207.38,3142.348,
7/6/16 0:00,3216.8,3142.865833,
7/7/16 0:00,3209.95,3142.53,
7/8/16 0:00,3192.28,3142.093833,
7/11/16 0:00,3203.33,3141.126333,
7/12/16 0:00,3273.18,3141.082167,
7/13/16 0:00,3282.87,3141.259833,
7/14/16 0:00,3276.76,3142.065,
7/15/16 0:00,3276.28,3142.698,
7/18/16 0:00,3262.02,3144.047833,
7/19/16 0:00,3248.23,3145.508333,
7/20/16 0:00,3237.61,3146.5535,
7/21/16 0:00,3252.52,3148.061667,
7/22/16 0:00,3225.16,3148.828333,
7/25/16 0:00,3230.89,3149.911167,
7/26/16 0:00,3269.59,3151.728,
7/27/16 0:00,3218.24,3152.752833,
7/28/16 0:00,3221.14,3152.8795,
7/29/16 0:00,3203.93,3152.787333,
8/1/16 0:00,3176.81,3152.168833,
8/2/16 0:00,3189.05,3153.147167,
8/3/16 0:00,3193.51,3155.278667,
8/4/16 0:00,3201.29,3157.481667,
8/5/16 0:00,3205.11,3159.52,
8/8/16 0:00,3234.18,3161.920667,
8/9/16 0:00,3256.98,3164.954667,
8/10/16 0:00,3243.34,3167.421833,
8/11/16 0:00,3233.36,3169.8775,
8/12/16 0:00,3294.23,3173.647333,
8/15/16 0:00,3393.42,3179.162667,
8/16/16 0:00,3378.25,3184.163167,
8/17/16 0:00,3373.05,3188.927,
8/18/16 0:00,3364.49,3193.9425,
8/19/16 0:00,3365.02,3199.039,
8/22/16 0:00,3336.79,3203.582,
8/23/16 0:00,3341.83,3208.2375,
8/24/16 0:00,3329.86,3212.623333,
8/25/16 0:00,3308.97,3214.946833,
